id,Database
37512,Neisseria
37513,Neisseria
37514,Neisseria
37515,Neisseria
37516,Neisseria
37517,Neisseria
37518,Neisseria
37519,Neisseria
37520,Neisseria
37521,Neisseria
37522,Neisseria
37523,Neisseria
37524,Neisseria
37525,Neisseria
37526,Neisseria
37527,Neisseria
37528,Neisseria
37529,Neisseria
37530,Neisseria
37531,Neisseria
37532,Neisseria
37533,Neisseria
37534,Neisseria
37535,Neisseria
37536,Neisseria
37537,Neisseria
37538,Neisseria
37539,Neisseria
37540,Neisseria
37541,Neisseria
37542,Neisseria
37543,Neisseria
37544,Neisseria
37545,Neisseria
37546,Neisseria
37547,Neisseria
37548,Neisseria
37549,Neisseria
37550,Neisseria
37551,Neisseria
37552,Neisseria
37553,Neisseria
37554,Neisseria
37555,Neisseria
37556,Neisseria
37557,Neisseria
37558,Neisseria
37559,Neisseria
37560,Neisseria
37561,Neisseria
37562,Neisseria
37563,Neisseria
37564,Neisseria
37565,Neisseria
37566,Neisseria
37567,Neisseria
37568,Neisseria
37569,Neisseria
37570,Neisseria
37571,Neisseria
37572,Neisseria
37573,Neisseria
37574,Neisseria
37575,Neisseria
37576,Neisseria
37577,Neisseria
37578,Neisseria
37579,Neisseria
37580,Neisseria
37581,Neisseria
37582,Neisseria
37583,Neisseria
37584,Neisseria
37585,Neisseria
37586,Neisseria
37587,Neisseria
37588,Neisseria
37589,Neisseria
37590,Neisseria
38982,Neisseria
39081,Neisseria
39082,Neisseria
39083,Neisseria
39084,Neisseria
39085,Neisseria
39086,Neisseria
39087,Neisseria
39088,Neisseria
39089,Neisseria
39090,Neisseria
39091,Neisseria
39092,Neisseria
39093,Neisseria
39094,Neisseria
39095,Neisseria
39096,Neisseria
39097,Neisseria
39098,Neisseria
39099,Neisseria
39100,Neisseria
39103,Neisseria
39104,Neisseria
39105,Neisseria
39106,Neisseria
39107,Neisseria
39108,Neisseria
39109,Neisseria
39112,Neisseria
39113,Neisseria
39114,Neisseria
39115,Neisseria
39116,Neisseria
39117,Neisseria
39118,Neisseria
39119,Neisseria
39120,Neisseria
39121,Neisseria
39122,Neisseria
39123,Neisseria
39124,Neisseria
39125,Neisseria
39126,Neisseria
39127,Neisseria
39128,Neisseria
39129,Neisseria
39130,Neisseria
39131,Neisseria
39132,Neisseria
39133,Neisseria
39134,Neisseria
39135,Neisseria
39137,Neisseria
39138,Neisseria
39139,Neisseria
39619,Neisseria
41197,Neisseria
41198,Neisseria
41199,Neisseria
41200,Neisseria
41201,Neisseria
41202,Neisseria
41203,Neisseria
41204,Neisseria
