iso3,year,gdp
BEN,2012,980.0746132
BEN,2013,1020.528234
BEN,2014,1054.108767
BEN,2015,1041.652523
BEN,2016,1045.150937
BEN,2017,1072.361966
BEN,2018,1111.22724
BEN,2019,1153.72621
BEN,2020,1164.708967
BEN,2021,1214.07759
BEN,2022,1255.607293
BMU,1990,86436.23431
BMU,1991,83812.1328
BMU,1992,84371.03566
BMU,1993,86444.67822
BMU,1994,86361.95281
BMU,1995,89518.27764
BMU,1996,91261.15148
BMU,1997,94878.49225
BMU,1998,97857.32328
BMU,1999,100602.9275
BMU,2000,109001.586
BMU,2001,115619.4747
BMU,2002,113172.1206
BMU,2003,116268.8169
BMU,2004,118193.1487
BMU,2005,119396.4494
BMU,2006,125294.9594
BMU,2007,128757.8807
BMU,2008,125610.0334
BMU,2009,117886.738
BMU,2010,115839.796
BMU,2011,112471.3475
BMU,2012,106119.795
BMU,2013,105492.4807
BMU,2014,101374.4698
BMU,2015,102005.6256
BMU,2016,102407.3944
BMU,2017,107237.0318
BMU,2018,106697.7375
BMU,2019,107036.2393
BMU,2020,99745.24161
BMU,2021,102959.2549
BMU,2022,106359.9705
BTN,1990,747.2360372
BTN,1991,732.039194
BTN,1992,796.2476557
BTN,1993,851.2080482
BTN,1994,892.632406
BTN,1995,944.4075487
BTN,1996,978.494963
BTN,1997,1013.409303
BTN,1998,1053.541952
BTN,1999,1110.067296
BTN,2000,1115.625326
BTN,2001,1176.653259
BTN,2002,1272.631794
BTN,2003,1338.508636
BTN,2004,1385.39642
BTN,2005,1456.479778
BTN,2006,1535.427863
BTN,2007,1795.071775
BTN,2008,1859.070433
BTN,2009,1961.938745
BTN,2010,2171.909785
BTN,2011,2319.590919
BTN,2012,2411.896385
BTN,2013,2436.859762
BTN,2014,2551.483055
BTN,2015,2695.636904
BTN,2016,2889.493866
BTN,2017,2998.473185
BTN,2018,3065.853525
BTN,2019,3219.641439
BTN,2020,2878.435707
BTN,2021,2976.90442
BTN,2022,..
BOL,1990,1687.442724
BOL,1991,1739.85461
BOL,1992,1732.739116
BOL,1993,1770.776899
BOL,1994,1817.473402
BOL,1995,1866.652933
BOL,1996,1912.002259
BOL,1997,1970.168081
BOL,1998,2031.972206
BOL,1999,2003.861308
BOL,2000,2017.394609
BOL,2001,2015.377479
BOL,2002,2029.617944
BOL,2003,2048.559818
BOL,2004,2097.258353
BOL,2005,2152.36197
BOL,2006,2216.544709
BOL,2007,2277.503826
BOL,2008,2376.078089
BOL,2009,2414.129945
BOL,2010,2471.473633
BOL,2011,2556.830269
BOL,2012,2643.690816
BOL,2013,2777.720532
BOL,2014,2882.806896
BOL,2015,2975.648811
BOL,2016,3054.892548
BOL,2017,3135.031646
BOL,2018,3219.200892
BOL,2019,3242.948845
BOL,2020,2920.197447
BOL,2021,3061.738613
BOL,2022,3118.396396
BIH,1990,..
BIH,1991,..
BIH,1992,..
BIH,1993,..
BIH,1994,647.4812958
BIH,1995,784.6188578
BIH,1996,1422.946827
BIH,1997,1846.152893
BIH,1998,2099.243839
BIH,1999,2279.744158
BIH,2000,2554.564639
BIH,2001,2606.75091
BIH,2002,2735.535837
BIH,2003,2851.274124
BIH,2004,3061.55204
BIH,2005,3218.594848
BIH,2006,3423.12467
BIH,2007,3669.017529
BIH,2008,3932.01611
BIH,2009,3878.441244
BIH,2010,3980.443104
BIH,2011,4091.582704
BIH,2012,4133.903552
BIH,2013,4297.494357
BIH,2014,4403.674797
BIH,2015,4654.609552
BIH,2016,4865.352265
BIH,2017,5082.998271
BIH,2018,5339.478137
BIH,2019,5558.082553
BIH,2020,5459.220722
BIH,2021,5947.820509
BIH,2022,6251.103315
BWA,1990,3931.63479
BWA,1991,4105.198984
BWA,1992,4105.665951
BWA,1993,4065.388883
BWA,1994,4097.207061
BWA,1995,4271.367203
BWA,1996,4410.28189
BWA,1997,4667.772606
BWA,1998,4585.562822
BWA,1999,4922.254415
BWA,2000,4917.112732
BWA,2001,4831.666479
BWA,2002,5030.143115
BWA,2003,5171.415723
BWA,2004,5219.287812
BWA,2005,5359.889071
BWA,2006,5700.081493
BWA,2007,5912.926401
BWA,2008,5982.516746
BWA,2009,5031.861471
BWA,2010,5428.164396
BWA,2011,5684.219914
BWA,2012,5566.546664
BWA,2013,6067.851147
BWA,2014,6291.249285
BWA,2015,5869.737772
BWA,2016,6166.090252
BWA,2017,6287.60286
BWA,2018,6418.577655
BWA,2019,6485.46044
BWA,2020,5810.757427
BWA,2021,6394.984433
BWA,2022,6657.073086
BRA,1990,6086.076853
BRA,1991,6043.431939
BRA,1992,5911.686343
BRA,1993,6103.376513
BRA,1994,6358.678056
BRA,1995,6524.518103
BRA,1996,6567.351705
BRA,1997,6689.198607
BRA,1998,6613.98242
BRA,1999,6551.225917
BRA,2000,6745.856994
BRA,2001,6749.880827
BRA,2002,6868.695117
BRA,2003,6865.172461
BRA,2004,7178.346659
BRA,2005,7325.902707
BRA,2006,7534.541633
BRA,2007,7909.824337
BRA,2008,8231.099426
BRA,2009,8142.760111
BRA,2010,8673.897385
BRA,2011,8935.276286
BRA,2012,9025.312958
BRA,2013,9216.131219
BRA,2014,9183.45867
BRA,2015,8783.214413
BRA,2016,8426.842251
BRA,2017,8470.939629
BRA,2018,8553.864918
BRA,2019,8592.210218
BRA,2020,8255.567064
BRA,2021,8621.73059
BRA,2022,8831.126713
VGB,1990,..
VGB,1991,..
VGB,1992,..
VGB,1993,..
VGB,1994,..
VGB,1995,..
VGB,1996,..
VGB,1997,..
VGB,1998,..
VGB,1999,..
VGB,2000,..
VGB,2001,..
VGB,2002,..
VGB,2003,..
VGB,2004,..
VGB,2005,..
VGB,2006,..
VGB,2007,..
VGB,2008,..
VGB,2009,..
VGB,2010,..
VGB,2011,..
VGB,2012,..
VGB,2013,..
VGB,2014,..
VGB,2015,..
VGB,2016,..
VGB,2017,..
VGB,2018,..
VGB,2019,..
VGB,2020,..
VGB,2021,..
VGB,2022,..
BRN,1990,34722.59562
BRN,1991,34762.23868
BRN,1992,35424.55099
BRN,1993,34621.77224
BRN,1994,34827.33797
BRN,1995,35515.84727
BRN,1996,35690.98862
BRN,1997,34377.86146
BRN,1998,33445.12461
BRN,1999,33739.49755
BRN,2000,33985.81932
BRN,2001,34219.31446
BRN,2002,34857.39714
BRN,2003,35202.79307
BRN,2004,34750.57756
BRN,2005,34290.11465
BRN,2006,35213.22241
BRN,2007,34714.54414
BRN,2008,33526.00643
BRN,2009,32449.83399
BRN,2010,32810.50735
BRN,2011,33577.06422
BRN,2012,33456.26907
BRN,2013,32341.89266
BRN,2014,31155.74763
BRN,2015,30681.43744
BRN,2016,29601.09985
BRN,2017,29695.88418
BRN,2018,29437.86851
BRN,2019,30313.41729
BRN,2020,30401.84726
BRN,2021,29673.16927
BRN,2022,28954.0674
BGR,1990,4431.028876
BGR,1991,4097.19211
BGR,1992,3840.246382
BGR,1993,3813.702078
BGR,1994,3896.244277
BGR,1995,4025.373122
BGR,1996,4256.806672
BGR,1997,3678.267357
BGR,1998,3843.201809
BGR,1999,3540.316265
BGR,2000,3721.05138
BGR,2001,3941.008666
BGR,2002,4263.982819
BGR,2003,4522.979796
BGR,2004,4853.944569
BGR,2005,5235.73159
BGR,2006,5634.529392
BGR,2007,6050.245919
BGR,2008,6465.503985
BGR,2009,6294.385308
BGR,2010,6433.644244
BGR,2011,6611.08491
BGR,2012,6699.687801
BGR,2013,6699.525442
BGR,2014,6802.858113
BGR,2015,7081.102336
BGR,2016,7347.710693
BGR,2017,7606.022279
BGR,2018,7866.825981
BGR,2019,8242.313996
BGR,2020,7963.690754
BGR,2021,8641.818899
BGR,2022,9502.411281
BFA,1990,333.1715949
BFA,1991,354.3218884
BFA,1992,346.507269
BFA,1993,349.7019761
BFA,1994,345.4817026
BFA,1995,355.9879411
BFA,1996,385.2291999
BFA,1997,399.1849998
BFA,1998,416.7416997
BFA,1999,434.6583922
BFA,2000,429.8473722
BFA,2001,444.5497549
BFA,2002,449.8539312
BFA,2003,470.1295826
BFA,2004,476.0099809
BFA,2005,501.2072502
BFA,2006,516.1767677
BFA,2007,521.3452592
BFA,2008,535.5836447
BFA,2009,535.5168345
BFA,2010,563.9267767
BFA,2011,583.6794771
BFA,2012,602.7867589
BFA,2013,618.8045833
BFA,2014,626.6262508
BFA,2015,632.1266858
BFA,2016,650.4172609
BFA,2017,671.2517963
BFA,2018,696.0445709
BFA,2019,716.0121974
BFA,2020,710.4713551
BFA,2021,739.6727249
BFA,2022,731.6429326
BDI,1990,435.0709429
BDI,1991,447.7448572
BDI,1992,440.5918567
BDI,1993,427.0689979
BDI,1994,408.4193161
BDI,1995,354.1161808
BDI,1996,325.9119163
BDI,1997,321.0896906
BDI,1998,330.1289306
BDI,1999,319.1358007
BDI,2000,310.0067109
BDI,2001,308.645199
BDI,2002,313.4864058
BDI,2003,300.0861529
BDI,2004,303.11967
BDI,2005,294.7387733
BDI,2006,299.7691208
BDI,2007,298.9366604
BDI,2008,300.8413492
BDI,2009,296.8470948
BDI,2010,297.791727
BDI,2011,299.0171756
BDI,2012,301.4813192
BDI,2013,305.2908352
BDI,2014,307.7655312
BDI,2015,289.3596271
BDI,2016,282.9759665
BDI,2017,277.959803
BDI,2018,274.1319084
BDI,2019,270.1372773
BDI,2020,263.3609886
BDI,2021,264.3648329
BDI,2022,262.184806
CPV,1990,860.0096672
CPV,1991,852.9975335
CPV,1992,923.4374555
CPV,1993,978.7357283
CPV,1994,1137.714175
CPV,1995,1268.678018
CPV,1996,1380.333569
CPV,1997,1499.446458
